user 	 regular_user 	 /index.php/login 	 127.0.0.1 	 2023-08-15 08:51:39 	 User has logged-in into an account on site. 
user 	 regular_user 	 /index.php/logout 	 127.0.0.1 	 2023-08-15 08:55:24 	 User has logged-out of an account. 
Admin 	 administrator 	 /index.php/login 	 127.0.0.1 	 2023-08-15 08:55:35 	 User has logged-in into an account on site. 
Admin 	 administrator 	 /index.php/logout 	 127.0.0.1 	 2023-08-15 08:57:19 	 User has logged-out of an account. 
Admin 	 administrator 	 /index.php/login 	 127.0.0.1 	 2023-08-15 08:57:52 	 User has logged-in into an account on site. 
Admin 	 administrator 	 /index.php/logout 	 127.0.0.1 	 2023-08-15 09:02:14 	 User has logged-out of an account. 
Beluga 	 regular_user 	 /index.php/login 	 127.0.0.1 	 2023-08-15 09:02:29 	 User has logged-in into an account on site. 
Beluga 	 regular_user 	 /index.php/logout 	 127.0.0.1 	 2023-08-15 09:08:37 	 User has logged-out of an account. 
Admin 	 administrator 	 /index.php/login 	 127.0.0.1 	 2023-08-15 09:14:22 	 User has logged-in into an account on site. 
Admin 	 administrator 	 /index.php/logout 	 127.0.0.1 	 2023-08-15 09:16:43 	 User has logged-out of an account. 
Beluga 	 regular_user 	 /index.php/login 	 127.0.0.1 	 2023-08-16 20:48:59 	 User has logged-in into an account on site. 
Beluga 	 regular_user 	 /index.php/login 	 127.0.0.1 	 2023-08-23 09:21:27 	 User has logged-in into an account on site. 
Admin 	 administrator 	 /index.php/login 	 127.0.0.1 	 2023-08-26 08:35:48 	 User has logged-in into an account on site. 
Admin 	 administrator 	 /index.php/logout 	 127.0.0.1 	 2023-08-26 13:26:35 	 User has logged-out of an account. 
Admin 	 administrator 	 /index.php/login 	 127.0.0.1 	 2023-08-26 13:27:12 	 User has logged-in into an account on site. 
Admin 	 administrator 	 /index.php/logout 	 127.0.0.1 	 2023-08-26 14:01:36 	 User has logged-out of an account. 
Admin 	 administrator 	 /index.php/login 	 127.0.0.1 	 2023-08-27 09:31:30 	 User has logged-in into an account on site. 
Admin 	 administrator 	 /index.php/logout 	 127.0.0.1 	 2023-08-27 09:32:45 	 User has logged-out of an account. 
Admin 	 administrator 	 /index.php/login 	 127.0.0.1 	 2023-08-27 18:33:42 	 User has logged-in into an account on site. 
Admin 	 administrator 	 /index.php/logout 	 127.0.0.1 	 2023-08-27 18:33:55 	 User has logged-out of an account. 
